time,node_a,node_b,datetime
33960,311,786,2013-06-24 09:26:00
33980,194,786,2013-06-24 09:26:20
34020,95,311,2013-06-24 09:27:00
34020,95,205,2013-06-24 09:27:00
34040,271,601,2013-06-24 09:27:20
34040,21,603,2013-06-24 09:27:20
34040,205,311,2013-06-24 09:27:20
34060,95,311,2013-06-24 09:27:40
34080,95,311,2013-06-24 09:28:00
34180,95,123,2013-06-24 09:29:40
34260,205,311,2013-06-24 09:31:00
34320,150,271,2013-06-24 09:32:00
34340,150,271,2013-06-24 09:32:20
34420,311,496,2013-06-24 09:33:40
34500,21,431,2013-06-24 09:35:00
34580,79,275,2013-06-24 09:36:20
34580,271,601,2013-06-24 09:36:20
34580,222,267,2013-06-24 09:36:20
34580,50,179,2013-06-24 09:36:20
34600,222,267,2013-06-24 09:36:40
34620,222,267,2013-06-24 09:37:00
34640,271,601,2013-06-24 09:37:20
34640,222,267,2013-06-24 09:37:20
34660,222,267,2013-06-24 09:37:40
34680,150,601,2013-06-24 09:38:00
34740,120,172,2013-06-24 09:39:00
34740,271,448,2013-06-24 09:39:00
34760,271,601,2013-06-24 09:39:20
34780,29,271,2013-06-24 09:39:40
34800,120,223,2013-06-24 09:40:00
34820,271,601,2013-06-24 09:40:20
34840,271,601,2013-06-24 09:40:40
34860,271,601,2013-06-24 09:41:00
34880,271,601,2013-06-24 09:41:20
34900,271,601,2013-06-24 09:41:40
34920,120,172,2013-06-24 09:42:00
34920,271,601,2013-06-24 09:42:00
34940,271,601,2013-06-24 09:42:20
34960,271,601,2013-06-24 09:42:40
34980,271,601,2013-06-24 09:43:00
35000,271,601,2013-06-24 09:43:20
35020,271,601,2013-06-24 09:43:40
35040,271,601,2013-06-24 09:44:00
35060,271,601,2013-06-24 09:44:20
35140,271,601,2013-06-24 09:45:40
35160,271,601,2013-06-24 09:46:00
35180,271,601,2013-06-24 09:46:20
35300,271,601,2013-06-24 09:48:20
35560,271,601,2013-06-24 09:52:40
35580,271,601,2013-06-24 09:53:00
35620,116,123,2013-06-24 09:53:40
35620,271,601,2013-06-24 09:53:40
35640,271,601,2013-06-24 09:54:00
35780,29,95,2013-06-24 09:56:20
35800,123,253,2013-06-24 09:56:40
35880,123,253,2013-06-24 09:58:00
35980,123,253,2013-06-24 09:59:40
36260,120,172,2013-06-24 10:04:20
36280,120,172,2013-06-24 10:04:40
36320,79,253,2013-06-24 10:05:20
36500,311,496,2013-06-24 10:08:20
36520,311,496,2013-06-24 10:08:40
36600,285,762,2013-06-24 10:10:00
36620,285,762,2013-06-24 10:10:20
36720,285,762,2013-06-24 10:12:00
36740,285,762,2013-06-24 10:12:20
36760,285,762,2013-06-24 10:12:40
36820,123,253,2013-06-24 10:13:40
36860,285,762,2013-06-24 10:14:20
36940,150,601,2013-06-24 10:15:40
37300,285,762,2013-06-24 10:21:40
37420,150,762,2013-06-24 10:23:40
37440,29,79,2013-06-24 10:24:00
37440,150,762,2013-06-24 10:24:00
37460,150,762,2013-06-24 10:24:20
37480,150,762,2013-06-24 10:24:40
37500,150,762,2013-06-24 10:25:00
37840,116,826,2013-06-24 10:30:40
38300,63,481,2013-06-24 10:38:20
38340,120,172,2013-06-24 10:39:00
38360,120,172,2013-06-24 10:39:20
38480,63,481,2013-06-24 10:41:20
38500,762,771,2013-06-24 10:41:40
38500,63,481,2013-06-24 10:41:40
38520,63,481,2013-06-24 10:42:00
38540,63,481,2013-06-24 10:42:20
38560,63,481,2013-06-24 10:42:40
38600,63,481,2013-06-24 10:43:20
38620,63,481,2013-06-24 10:43:40
38680,63,481,2013-06-24 10:44:40
38700,63,481,2013-06-24 10:45:00
38720,63,481,2013-06-24 10:45:20
38780,63,481,2013-06-24 10:46:20
38800,63,481,2013-06-24 10:46:40
38860,63,481,2013-06-24 10:47:40
39660,56,939,2013-06-24 11:01:00
39660,50,335,2013-06-24 11:01:00
39760,123,253,2013-06-24 11:02:40
39940,778,826,2013-06-24 11:05:40
39960,778,826,2013-06-24 11:06:00
40320,223,496,2013-06-24 11:12:00
40420,123,253,2013-06-24 11:13:40
40440,29,56,2013-06-24 11:14:00
40460,29,56,2013-06-24 11:14:20
40480,29,56,2013-06-24 11:14:40
40500,29,56,2013-06-24 11:15:00
40520,29,56,2013-06-24 11:15:20
40560,95,819,2013-06-24 11:16:00
40560,123,253,2013-06-24 11:16:00
40560,29,56,2013-06-24 11:16:00
40560,116,778,2013-06-24 11:16:00
41000,105,113,2013-06-24 11:23:20
41120,223,496,2013-06-24 11:25:20
41500,172,311,2013-06-24 11:31:40
41520,120,311,2013-06-24 11:32:00
41600,105,113,2013-06-24 11:33:20
41600,172,311,2013-06-24 11:33:20
41620,120,172,2013-06-24 11:33:40
41620,172,311,2013-06-24 11:33:40
41660,120,311,2013-06-24 11:34:20
41680,105,113,2013-06-24 11:34:40
42020,105,113,2013-06-24 11:40:20
42040,113,513,2013-06-24 11:40:40
42040,123,253,2013-06-24 11:40:40
42060,123,253,2013-06-24 11:41:00
42080,105,113,2013-06-24 11:41:20
42180,113,513,2013-06-24 11:43:00
42180,172,311,2013-06-24 11:43:00
42200,172,311,2013-06-24 11:43:20
42260,172,311,2013-06-24 11:44:20
42280,172,311,2013-06-24 11:44:40
42300,172,311,2013-06-24 11:45:00
42320,123,253,2013-06-24 11:45:20
42320,172,311,2013-06-24 11:45:20
42340,123,253,2013-06-24 11:45:40
42340,172,311,2013-06-24 11:45:40
42360,172,311,2013-06-24 11:46:00
42380,123,253,2013-06-24 11:46:20
42380,172,311,2013-06-24 11:46:20
42400,119,275,2013-06-24 11:46:40
42400,172,311,2013-06-24 11:46:40
42420,172,311,2013-06-24 11:47:00
42460,172,311,2013-06-24 11:47:40
42480,105,113,2013-06-24 11:48:00
42580,119,335,2013-06-24 11:49:40
42660,113,513,2013-06-24 11:51:00
42720,63,481,2013-06-24 11:52:00
42880,105,513,2013-06-24 11:54:40
43000,50,771,2013-06-24 11:56:40
43020,50,771,2013-06-24 11:57:00
43180,15,95,2013-06-24 11:59:40
43260,15,95,2013-06-24 12:01:00
43260,15,29,2013-06-24 12:01:00
43260,29,95,2013-06-24 12:01:00
43280,29,95,2013-06-24 12:01:20
43280,15,95,2013-06-24 12:01:20
43280,15,29,2013-06-24 12:01:20
43300,15,95,2013-06-24 12:01:40
43420,15,95,2013-06-24 12:03:40
43440,15,95,2013-06-24 12:04:00
43460,15,95,2013-06-24 12:04:20
43480,194,786,2013-06-24 12:04:40
43480,15,95,2013-06-24 12:04:40
43520,105,113,2013-06-24 12:05:20
43560,95,194,2013-06-24 12:06:00
43580,15,95,2013-06-24 12:06:20
43600,15,95,2013-06-24 12:06:40
43640,95,194,2013-06-24 12:07:20
43660,150,154,2013-06-24 12:07:40
43660,95,194,2013-06-24 12:07:40
43680,150,154,2013-06-24 12:08:00
43680,15,95,2013-06-24 12:08:00
43680,95,194,2013-06-24 12:08:00
43700,150,154,2013-06-24 12:08:20
43700,105,113,2013-06-24 12:08:20
43720,150,154,2013-06-24 12:08:40
43720,105,113,2013-06-24 12:08:40
43740,105,113,2013-06-24 12:09:00
43760,150,154,2013-06-24 12:09:20
43820,150,154,2013-06-24 12:10:20
43820,494,765,2013-06-24 12:10:20
43840,150,154,2013-06-24 12:10:40
43840,494,765,2013-06-24 12:10:40
43860,150,154,2013-06-24 12:11:00
43880,150,154,2013-06-24 12:11:20
43940,150,154,2013-06-24 12:12:20
43940,494,765,2013-06-24 12:12:20
43960,150,154,2013-06-24 12:12:40
44080,48,209,2013-06-24 12:14:40
44100,48,209,2013-06-24 12:15:00
44120,48,209,2013-06-24 12:15:20
44120,113,513,2013-06-24 12:15:20
44180,80,222,2013-06-24 12:16:20
44280,17,48,2013-06-24 12:18:00
44320,179,209,2013-06-24 12:18:40
44340,17,179,2013-06-24 12:19:00
44340,179,209,2013-06-24 12:19:00
44340,17,209,2013-06-24 12:19:00
44340,17,48,2013-06-24 12:19:00
44360,66,209,2013-06-24 12:19:20
44380,48,209,2013-06-24 12:19:40
44380,17,66,2013-06-24 12:19:40
44380,123,253,2013-06-24 12:19:40
44400,17,66,2013-06-24 12:20:00
44420,80,222,2013-06-24 12:20:20
44420,17,66,2013-06-24 12:20:20
44440,123,253,2013-06-24 12:20:40
44440,17,66,2013-06-24 12:20:40
44460,196,223,2013-06-24 12:21:00
44460,17,66,2013-06-24 12:21:00
44460,66,196,2013-06-24 12:21:00
44480,196,223,2013-06-24 12:21:20
44480,223,819,2013-06-24 12:21:20
44480,17,102,2013-06-24 12:21:20
44480,39,205,2013-06-24 12:21:20
44480,66,209,2013-06-24 12:21:20
44480,17,66,2013-06-24 12:21:20
44500,196,819,2013-06-24 12:21:40
44500,48,66,2013-06-24 12:21:40
44500,17,66,2013-06-24 12:21:40
44520,80,765,2013-06-24 12:22:00
44520,17,66,2013-06-24 12:22:00
44520,66,102,2013-06-24 12:22:00
44520,196,819,2013-06-24 12:22:00
44520,66,209,2013-06-24 12:22:00
44520,48,66,2013-06-24 12:22:00
44540,66,102,2013-06-24 12:22:20
44540,80,765,2013-06-24 12:22:20
44540,17,179,2013-06-24 12:22:20
44540,196,819,2013-06-24 12:22:20
44540,17,66,2013-06-24 12:22:20
44540,66,209,2013-06-24 12:22:20
44540,48,66,2013-06-24 12:22:20
44560,48,209,2013-06-24 12:22:40
44560,48,66,2013-06-24 12:22:40
44560,66,102,2013-06-24 12:22:40
44560,223,819,2013-06-24 12:22:40
44560,196,819,2013-06-24 12:22:40
44560,21,66,2013-06-24 12:22:40
44560,102,179,2013-06-24 12:22:40
44580,48,209,2013-06-24 12:23:00
44580,66,102,2013-06-24 12:23:00
44580,21,48,2013-06-24 12:23:00
44580,17,102,2013-06-24 12:23:00
44580,205,496,2013-06-24 12:23:00
44580,102,179,2013-06-24 12:23:00
44600,48,209,2013-06-24 12:23:20
44600,66,102,2013-06-24 12:23:20
44600,17,102,2013-06-24 12:23:20
44600,21,66,2013-06-24 12:23:20
44600,102,179,2013-06-24 12:23:20
44620,48,209,2013-06-24 12:23:40
44620,80,765,2013-06-24 12:23:40
44620,48,134,2013-06-24 12:23:40
44620,66,102,2013-06-24 12:23:40
44620,17,102,2013-06-24 12:23:40
44620,21,66,2013-06-24 12:23:40
44620,134,209,2013-06-24 12:23:40
44620,66,209,2013-06-24 12:23:40
44620,102,179,2013-06-24 12:23:40
44640,48,66,2013-06-24 12:24:00
44660,80,765,2013-06-24 12:24:20
44680,80,765,2013-06-24 12:24:40
44680,105,113,2013-06-24 12:24:40
44700,80,765,2013-06-24 12:25:00
44720,80,765,2013-06-24 12:25:20
44720,240,275,2013-06-24 12:25:20
44760,80,222,2013-06-24 12:26:00
44780,134,240,2013-06-24 12:26:20
44780,80,222,2013-06-24 12:26:20
44800,134,240,2013-06-24 12:26:40
44800,80,222,2013-06-24 12:26:40
44820,240,285,2013-06-24 12:27:00
44820,134,496,2013-06-24 12:27:00
44820,80,222,2013-06-24 12:27:00
44840,240,285,2013-06-24 12:27:20
44840,134,285,2013-06-24 12:27:20
44840,80,222,2013-06-24 12:27:20
44840,123,253,2013-06-24 12:27:20
44860,240,285,2013-06-24 12:27:40
44860,134,240,2013-06-24 12:27:40
44860,134,285,2013-06-24 12:27:40
44860,80,222,2013-06-24 12:27:40
44860,123,253,2013-06-24 12:27:40
44920,271,601,2013-06-24 12:28:40
44920,205,496,2013-06-24 12:28:40
44940,205,496,2013-06-24 12:29:00
44980,271,601,2013-06-24 12:29:40
44980,205,311,2013-06-24 12:29:40
44980,205,496,2013-06-24 12:29:40
44980,80,311,2013-06-24 12:29:40
45000,311,496,2013-06-24 12:30:00
45000,205,496,2013-06-24 12:30:00
45020,63,481,2013-06-24 12:30:20
45020,205,496,2013-06-24 12:30:20
45040,80,222,2013-06-24 12:30:40
45040,205,496,2013-06-24 12:30:40
45060,80,222,2013-06-24 12:31:00
45060,205,496,2013-06-24 12:31:00
45060,63,271,2013-06-24 12:31:00
45080,80,765,2013-06-24 12:31:20
45080,205,311,2013-06-24 12:31:20
45080,80,222,2013-06-24 12:31:20
45080,205,496,2013-06-24 12:31:20
45100,80,765,2013-06-24 12:31:40
45100,205,496,2013-06-24 12:31:40
45120,80,765,2013-06-24 12:32:00
45120,80,222,2013-06-24 12:32:00
45140,80,222,2013-06-24 12:32:20
45140,205,496,2013-06-24 12:32:20
45160,222,496,2013-06-24 12:32:40
45160,205,311,2013-06-24 12:32:40
45160,205,496,2013-06-24 12:32:40
45180,311,496,2013-06-24 12:33:00
45180,205,496,2013-06-24 12:33:00
45200,205,311,2013-06-24 12:33:20
45200,205,496,2013-06-24 12:33:20
45220,205,496,2013-06-24 12:33:40
45240,205,496,2013-06-24 12:34:00
45260,80,765,2013-06-24 12:34:20
45260,80,222,2013-06-24 12:34:20
45260,205,496,2013-06-24 12:34:20
45280,205,496,2013-06-24 12:34:40
45300,80,765,2013-06-24 12:35:00
45300,205,496,2013-06-24 12:35:00
45320,80,765,2013-06-24 12:35:20
45320,222,496,2013-06-24 12:35:20
45320,205,496,2013-06-24 12:35:20
45320,39,113,2013-06-24 12:35:20
45340,80,765,2013-06-24 12:35:40
45340,205,496,2013-06-24 12:35:40
45340,39,113,2013-06-24 12:35:40
45360,80,222,2013-06-24 12:36:00
45380,80,765,2013-06-24 12:36:20
45400,80,765,2013-06-24 12:36:40
45420,80,765,2013-06-24 12:37:00
45420,205,496,2013-06-24 12:37:00
45440,80,765,2013-06-24 12:37:20
45440,123,253,2013-06-24 12:37:20
45460,80,765,2013-06-24 12:37:40
45460,80,494,2013-06-24 12:37:40
45480,80,765,2013-06-24 12:38:00
45480,80,494,2013-06-24 12:38:00
45500,80,765,2013-06-24 12:38:20
45500,80,494,2013-06-24 12:38:20
45520,80,765,2013-06-24 12:38:40
45520,80,494,2013-06-24 12:38:40
45560,39,113,2013-06-24 12:39:20
45600,494,765,2013-06-24 12:40:00
45640,123,253,2013-06-24 12:40:40
45900,80,222,2013-06-24 12:45:00
46100,105,275,2013-06-24 12:48:20
46320,311,496,2013-06-24 12:52:00
46340,311,496,2013-06-24 12:52:20
46340,80,222,2013-06-24 12:52:20
46360,311,496,2013-06-24 12:52:40
46360,123,253,2013-06-24 12:52:40
46380,123,253,2013-06-24 12:53:00
46460,80,311,2013-06-24 12:54:20
46480,80,311,2013-06-24 12:54:40
46520,311,496,2013-06-24 12:55:20
46540,311,496,2013-06-24 12:55:40
46560,311,496,2013-06-24 12:56:00
46580,311,496,2013-06-24 12:56:20
46580,80,765,2013-06-24 12:56:20
46600,311,496,2013-06-24 12:56:40
46620,311,496,2013-06-24 12:57:00
46720,311,496,2013-06-24 12:58:40
46920,113,242,2013-06-24 13:02:00
46940,113,194,2013-06-24 13:02:20
46960,311,496,2013-06-24 13:02:40
47000,113,242,2013-06-24 13:03:20
47020,311,496,2013-06-24 13:03:40
47020,113,242,2013-06-24 13:03:40
47020,113,194,2013-06-24 13:03:40
47040,113,242,2013-06-24 13:04:00
47060,113,194,2013-06-24 13:04:20
47300,311,496,2013-06-24 13:08:20
47320,311,496,2013-06-24 13:08:40
47340,311,496,2013-06-24 13:09:00
47340,79,804,2013-06-24 13:09:00
47380,311,496,2013-06-24 13:09:40
47380,267,311,2013-06-24 13:09:40
47400,311,496,2013-06-24 13:10:00
47400,267,311,2013-06-24 13:10:00
47420,267,311,2013-06-24 13:10:20
47460,267,311,2013-06-24 13:11:00
47460,80,222,2013-06-24 13:11:00
47460,205,267,2013-06-24 13:11:00
47480,66,102,2013-06-24 13:11:20
47480,267,311,2013-06-24 13:11:20
47480,80,222,2013-06-24 13:11:20
47480,123,164,2013-06-24 13:11:20
47500,267,311,2013-06-24 13:11:40
47500,21,66,2013-06-24 13:11:40
47500,205,267,2013-06-24 13:11:40
47520,267,311,2013-06-24 13:12:00
47540,267,311,2013-06-24 13:12:20
47560,267,311,2013-06-24 13:12:40
47560,79,804,2013-06-24 13:12:40
47580,79,804,2013-06-24 13:13:00
47580,267,311,2013-06-24 13:13:00
47580,66,179,2013-06-24 13:13:00
47600,267,311,2013-06-24 13:13:20
47600,267,496,2013-06-24 13:13:20
47620,267,311,2013-06-24 13:13:40
47620,267,496,2013-06-24 13:13:40
47640,311,496,2013-06-24 13:14:00
47640,267,311,2013-06-24 13:14:00
47640,80,222,2013-06-24 13:14:00
47640,267,496,2013-06-24 13:14:00
47660,311,496,2013-06-24 13:14:20
47660,267,311,2013-06-24 13:14:20
47660,267,496,2013-06-24 13:14:20
47660,205,267,2013-06-24 13:14:20
47680,311,496,2013-06-24 13:14:40
47680,48,804,2013-06-24 13:14:40
47680,267,311,2013-06-24 13:14:40
47680,511,804,2013-06-24 13:14:40
47680,179,222,2013-06-24 13:14:40
47680,267,496,2013-06-24 13:14:40
47680,205,267,2013-06-24 13:14:40
47700,267,311,2013-06-24 13:15:00
47700,511,804,2013-06-24 13:15:00
47700,179,222,2013-06-24 13:15:00
47700,205,267,2013-06-24 13:15:00
47720,267,311,2013-06-24 13:15:20
47720,48,179,2013-06-24 13:15:20
47740,48,179,2013-06-24 13:15:40
47740,17,179,2013-06-24 13:15:40
47740,267,311,2013-06-24 13:15:40
47760,311,496,2013-06-24 13:16:00
47760,17,179,2013-06-24 13:16:00
47760,267,311,2013-06-24 13:16:00
47760,511,804,2013-06-24 13:16:00
47780,511,804,2013-06-24 13:16:20
47800,48,179,2013-06-24 13:16:40
47820,48,179,2013-06-24 13:17:00
47820,511,804,2013-06-24 13:17:00
47840,48,179,2013-06-24 13:17:20
47840,511,804,2013-06-24 13:17:20
47840,267,496,2013-06-24 13:17:20
47860,66,804,2013-06-24 13:17:40
47860,21,48,2013-06-24 13:17:40
47860,511,804,2013-06-24 13:17:40
47860,267,496,2013-06-24 13:17:40
47860,17,21,2013-06-24 13:17:40
47860,17,48,2013-06-24 13:17:40
47880,275,804,2013-06-24 13:18:00
47880,511,804,2013-06-24 13:18:00
47880,267,496,2013-06-24 13:18:00
47900,511,804,2013-06-24 13:18:20
47920,311,496,2013-06-24 13:18:40
47920,102,271,2013-06-24 13:18:40
47920,511,804,2013-06-24 13:18:40
47920,21,66,2013-06-24 13:18:40
47920,102,601,2013-06-24 13:18:40
47940,271,601,2013-06-24 13:19:00
47940,267,311,2013-06-24 13:19:00
47940,511,804,2013-06-24 13:19:00
47960,271,601,2013-06-24 13:19:20
47960,511,804,2013-06-24 13:19:20
47980,271,601,2013-06-24 13:19:40
47980,21,66,2013-06-24 13:19:40
48000,311,496,2013-06-24 13:20:00
48000,271,601,2013-06-24 13:20:00
48000,267,311,2013-06-24 13:20:00
48000,21,66,2013-06-24 13:20:00
48000,267,496,2013-06-24 13:20:00
48020,311,496,2013-06-24 13:20:20
48020,267,311,2013-06-24 13:20:20
48020,267,496,2013-06-24 13:20:20
48040,79,311,2013-06-24 13:20:40
48040,205,496,2013-06-24 13:20:40
48040,48,66,2013-06-24 13:20:40
48060,311,496,2013-06-24 13:21:00
48080,271,601,2013-06-24 13:21:20
48080,222,267,2013-06-24 13:21:20
48120,271,601,2013-06-24 13:22:00
48120,222,267,2013-06-24 13:22:00
48120,48,80,2013-06-24 13:22:00
48140,222,267,2013-06-24 13:22:20
48160,271,601,2013-06-24 13:22:40
48160,804,826,2013-06-24 13:22:40
48180,48,66,2013-06-24 13:23:00
48180,804,826,2013-06-24 13:23:00
48180,778,804,2013-06-24 13:23:00
48220,271,601,2013-06-24 13:23:40
48220,222,267,2013-06-24 13:23:40
48240,271,601,2013-06-24 13:24:00
48240,209,285,2013-06-24 13:24:00
48240,79,102,2013-06-24 13:24:00
48280,223,267,2013-06-24 13:24:40
48280,285,875,2013-06-24 13:24:40
48280,222,223,2013-06-24 13:24:40
48280,222,267,2013-06-24 13:24:40
48300,223,267,2013-06-24 13:25:00
48300,285,875,2013-06-24 13:25:00
48300,222,223,2013-06-24 13:25:00
48300,222,267,2013-06-24 13:25:00
48320,223,267,2013-06-24 13:25:20
48320,271,601,2013-06-24 13:25:20
48320,285,875,2013-06-24 13:25:20
48320,222,267,2013-06-24 13:25:20
48340,223,267,2013-06-24 13:25:40
48340,285,875,2013-06-24 13:25:40
48340,222,267,2013-06-24 13:25:40
48360,223,267,2013-06-24 13:26:00
48360,271,601,2013-06-24 13:26:00
48360,285,875,2013-06-24 13:26:00
48380,285,875,2013-06-24 13:26:20
48380,184,267,2013-06-24 13:26:20
48380,275,875,2013-06-24 13:26:20
48420,271,601,2013-06-24 13:27:00
48440,271,601,2013-06-24 13:27:20
48440,285,875,2013-06-24 13:27:20
48460,271,601,2013-06-24 13:27:40
48460,285,875,2013-06-24 13:27:40
48480,285,875,2013-06-24 13:28:00
48480,184,804,2013-06-24 13:28:00
48500,184,804,2013-06-24 13:28:20
48520,184,804,2013-06-24 13:28:40
48540,184,804,2013-06-24 13:29:00
48580,285,875,2013-06-24 13:29:40
48620,285,875,2013-06-24 13:30:20
48680,102,240,2013-06-24 13:31:20
48680,222,267,2013-06-24 13:31:20
48700,102,240,2013-06-24 13:31:40
48700,222,267,2013-06-24 13:31:40
48720,222,267,2013-06-24 13:32:00
48740,222,267,2013-06-24 13:32:20
48760,285,875,2013-06-24 13:32:40
48900,48,66,2013-06-24 13:35:00
48920,285,875,2013-06-24 13:35:20
48920,48,66,2013-06-24 13:35:20
48980,222,267,2013-06-24 13:36:20
48980,48,66,2013-06-24 13:36:20
49000,222,267,2013-06-24 13:36:40
49000,21,66,2013-06-24 13:36:40
49000,48,66,2013-06-24 13:36:40
49060,21,209,2013-06-24 13:37:40
49100,119,875,2013-06-24 13:38:20
49100,222,267,2013-06-24 13:38:20
49140,222,267,2013-06-24 13:39:00
49140,21,209,2013-06-24 13:39:00
49160,222,267,2013-06-24 13:39:20
49220,21,66,2013-06-24 13:40:20
49220,48,66,2013-06-24 13:40:20
49280,48,66,2013-06-24 13:41:20
49300,21,48,2013-06-24 13:41:40
49300,21,66,2013-06-24 13:41:40
49300,48,66,2013-06-24 13:41:40
49320,48,66,2013-06-24 13:42:00
49520,222,267,2013-06-24 13:45:20
49540,222,267,2013-06-24 13:45:40
49560,79,95,2013-06-24 13:46:00
49560,21,66,2013-06-24 13:46:00
49600,222,267,2013-06-24 13:46:40
49600,29,95,2013-06-24 13:46:40
49620,21,66,2013-06-24 13:47:00
49620,48,66,2013-06-24 13:47:00
49640,222,267,2013-06-24 13:47:20
49640,21,66,2013-06-24 13:47:20
49640,95,181,2013-06-24 13:47:20
49660,222,267,2013-06-24 13:47:40
49660,21,66,2013-06-24 13:47:40
49660,48,66,2013-06-24 13:47:40
49680,21,66,2013-06-24 13:48:00
49680,48,66,2013-06-24 13:48:00
49700,48,66,2013-06-24 13:48:20
49720,134,240,2013-06-24 13:48:40
49740,21,48,2013-06-24 13:49:00
49740,21,66,2013-06-24 13:49:00
49740,48,66,2013-06-24 13:49:00
49760,21,66,2013-06-24 13:49:20
49760,48,66,2013-06-24 13:49:20
49780,21,66,2013-06-24 13:49:40
49780,48,66,2013-06-24 13:49:40
49800,79,95,2013-06-24 13:50:00
49800,48,66,2013-06-24 13:50:00
49800,21,48,2013-06-24 13:50:00
49800,21,66,2013-06-24 13:50:00
49820,48,66,2013-06-24 13:50:20
49840,48,66,2013-06-24 13:50:40
49860,48,66,2013-06-24 13:51:00
49880,39,267,2013-06-24 13:51:20
49880,48,66,2013-06-24 13:51:20
49900,48,66,2013-06-24 13:51:40
49920,48,66,2013-06-24 13:52:00
49940,48,66,2013-06-24 13:52:20
49960,95,786,2013-06-24 13:52:40
49960,48,66,2013-06-24 13:52:40
49980,21,48,2013-06-24 13:53:00
49980,48,66,2013-06-24 13:53:00
50040,50,102,2013-06-24 13:54:00
