time,node_a,node_b,status_a,status_b,datetime
4280,1109,1232,NUR,ADM,2010-12-06 14:11:20
4280,1098,1114,ADM,NUR,2010-12-06 14:11:20
4280,1116,1164,NUR,NUR,2010-12-06 14:11:20
4280,1109,1295,NUR,NUR,2010-12-06 14:11:20
4280,1193,1295,NUR,NUR,2010-12-06 14:11:20
4300,1116,1193,NUR,NUR,2010-12-06 14:11:40
4300,1164,1193,NUR,NUR,2010-12-06 14:11:40
4300,1116,1164,NUR,NUR,2010-12-06 14:11:40
4300,1193,1295,NUR,NUR,2010-12-06 14:11:40
4320,1116,1193,NUR,NUR,2010-12-06 14:12:00
4320,1164,1295,NUR,NUR,2010-12-06 14:12:00
4320,1164,1193,NUR,NUR,2010-12-06 14:12:00
4320,1105,1164,NUR,NUR,2010-12-06 14:12:00
4320,1193,1295,NUR,NUR,2010-12-06 14:12:00
4320,1116,1295,NUR,NUR,2010-12-06 14:12:00
4340,1164,1295,NUR,NUR,2010-12-06 14:12:20
4340,1114,1116,NUR,NUR,2010-12-06 14:12:20
4340,1105,1179,NUR,ADM,2010-12-06 14:12:20
4360,1105,1232,NUR,ADM,2010-12-06 14:12:40
4360,1098,1114,ADM,NUR,2010-12-06 14:12:40
4360,1179,1232,ADM,ADM,2010-12-06 14:12:40
4380,1114,1116,NUR,NUR,2010-12-06 14:13:00
4380,1193,1232,NUR,ADM,2010-12-06 14:13:00
4380,1105,1232,NUR,ADM,2010-12-06 14:13:00
4380,1098,1114,ADM,NUR,2010-12-06 14:13:00
4400,1181,1232,NUR,ADM,2010-12-06 14:13:20
4400,1105,1232,NUR,ADM,2010-12-06 14:13:20
4400,1164,1232,NUR,ADM,2010-12-06 14:13:20
4400,1098,1114,ADM,NUR,2010-12-06 14:13:20
4400,1105,1164,NUR,NUR,2010-12-06 14:13:20
4420,1114,1116,NUR,NUR,2010-12-06 14:13:40
4420,1181,1295,NUR,NUR,2010-12-06 14:13:40
4420,1098,1114,ADM,NUR,2010-12-06 14:13:40
4420,1232,1295,ADM,NUR,2010-12-06 14:13:40
4420,1105,1295,NUR,NUR,2010-12-06 14:13:40
4420,1105,1164,NUR,NUR,2010-12-06 14:13:40
4440,1098,1114,ADM,NUR,2010-12-06 14:14:00
4440,1232,1295,ADM,NUR,2010-12-06 14:14:00
4460,1105,1232,NUR,ADM,2010-12-06 14:14:20
4460,1105,1295,NUR,NUR,2010-12-06 14:14:20
4480,1105,1109,NUR,NUR,2010-12-06 14:14:40
4480,1098,1193,ADM,NUR,2010-12-06 14:14:40
4480,1105,1232,NUR,ADM,2010-12-06 14:14:40
4480,1105,1193,NUR,NUR,2010-12-06 14:14:40
4480,1105,1295,NUR,NUR,2010-12-06 14:14:40
4480,1109,1193,NUR,NUR,2010-12-06 14:14:40
4480,1109,1295,NUR,NUR,2010-12-06 14:14:40
4500,1105,1109,NUR,NUR,2010-12-06 14:15:00
4500,1105,1232,NUR,ADM,2010-12-06 14:15:00
4500,1105,1193,NUR,NUR,2010-12-06 14:15:00
4500,1109,1193,NUR,NUR,2010-12-06 14:15:00
4500,1193,1295,NUR,NUR,2010-12-06 14:15:00
4520,1116,1193,NUR,NUR,2010-12-06 14:15:20
4520,1105,1193,NUR,NUR,2010-12-06 14:15:20
4520,1105,1295,NUR,NUR,2010-12-06 14:15:20
4520,1105,1116,NUR,NUR,2010-12-06 14:15:20
4520,1193,1295,NUR,NUR,2010-12-06 14:15:20
4540,1105,1109,NUR,NUR,2010-12-06 14:15:40
4540,1105,1193,NUR,NUR,2010-12-06 14:15:40
4540,1157,1191,MED,MED,2010-12-06 14:15:40
4540,1105,1295,NUR,NUR,2010-12-06 14:15:40
4540,1109,1193,NUR,NUR,2010-12-06 14:15:40
4540,1193,1295,NUR,NUR,2010-12-06 14:15:40
4560,1116,1193,NUR,NUR,2010-12-06 14:16:00
4560,1105,1109,NUR,NUR,2010-12-06 14:16:00
4560,1105,1193,NUR,NUR,2010-12-06 14:16:00
4560,1157,1191,MED,MED,2010-12-06 14:16:00
4560,1105,1295,NUR,NUR,2010-12-06 14:16:00
4560,1105,1116,NUR,NUR,2010-12-06 14:16:00
4560,1109,1295,NUR,NUR,2010-12-06 14:16:00
4560,1193,1295,NUR,NUR,2010-12-06 14:16:00
4580,1105,1109,NUR,NUR,2010-12-06 14:16:20
4580,1157,1191,MED,MED,2010-12-06 14:16:20
4580,1109,1193,NUR,NUR,2010-12-06 14:16:20
4580,1109,1295,NUR,NUR,2010-12-06 14:16:20
4600,1105,1232,NUR,ADM,2010-12-06 14:16:40
4600,1157,1191,MED,MED,2010-12-06 14:16:40
4600,1109,1149,NUR,NUR,2010-12-06 14:16:40
4620,1149,1232,NUR,ADM,2010-12-06 14:17:00
4620,1157,1191,MED,MED,2010-12-06 14:17:00
4640,1105,1109,NUR,NUR,2010-12-06 14:17:20
4640,1149,1232,NUR,ADM,2010-12-06 14:17:20
4640,1157,1191,MED,MED,2010-12-06 14:17:20
4660,1157,1191,MED,MED,2010-12-06 14:17:40
4680,1157,1191,MED,MED,2010-12-06 14:18:00
4700,1149,1232,NUR,ADM,2010-12-06 14:18:20
4700,1157,1191,MED,MED,2010-12-06 14:18:20
4720,1142,1149,NUR,NUR,2010-12-06 14:18:40
4720,1157,1191,MED,MED,2010-12-06 14:18:40
4740,1098,1114,ADM,NUR,2010-12-06 14:19:00
4740,1157,1191,MED,MED,2010-12-06 14:19:00
4760,1157,1191,MED,MED,2010-12-06 14:19:20
4780,1114,1142,NUR,NUR,2010-12-06 14:19:40
4780,1157,1191,MED,MED,2010-12-06 14:19:40
4800,1157,1191,MED,MED,2010-12-06 14:20:00
4820,1157,1191,MED,MED,2010-12-06 14:20:20
4840,1157,1191,MED,MED,2010-12-06 14:20:40
4860,1157,1191,MED,MED,2010-12-06 14:21:00
4860,1142,1193,NUR,NUR,2010-12-06 14:21:00
4860,1193,1295,NUR,NUR,2010-12-06 14:21:00
4880,1157,1191,MED,MED,2010-12-06 14:21:20
4900,1105,1114,NUR,NUR,2010-12-06 14:21:40
4900,1157,1191,MED,MED,2010-12-06 14:21:40
4900,1114,1193,NUR,NUR,2010-12-06 14:21:40
4920,1157,1191,MED,MED,2010-12-06 14:22:00
4940,1157,1191,MED,MED,2010-12-06 14:22:20
4960,1157,1191,MED,MED,2010-12-06 14:22:40
4980,1157,1191,MED,MED,2010-12-06 14:23:00
5000,1157,1191,MED,MED,2010-12-06 14:23:20
5020,1149,1232,NUR,ADM,2010-12-06 14:23:40
5020,1157,1191,MED,MED,2010-12-06 14:23:40
5040,1157,1191,MED,MED,2010-12-06 14:24:00
5060,1157,1191,MED,MED,2010-12-06 14:24:20
5060,1109,1193,NUR,NUR,2010-12-06 14:24:20
5080,1157,1191,MED,MED,2010-12-06 14:24:40
5100,1157,1191,MED,MED,2010-12-06 14:25:00
5120,1149,1232,NUR,ADM,2010-12-06 14:25:20
5120,1157,1191,MED,MED,2010-12-06 14:25:20
5120,1109,1295,NUR,NUR,2010-12-06 14:25:20
5120,1193,1295,NUR,NUR,2010-12-06 14:25:20
5140,1157,1191,MED,MED,2010-12-06 14:25:40
5140,1193,1295,NUR,NUR,2010-12-06 14:25:40
5160,1149,1232,NUR,ADM,2010-12-06 14:26:00
5160,1157,1191,MED,MED,2010-12-06 14:26:00
5180,1149,1232,NUR,ADM,2010-12-06 14:26:20
5180,1157,1191,MED,MED,2010-12-06 14:26:20
5200,1157,1191,MED,MED,2010-12-06 14:26:40
5200,1109,1193,NUR,NUR,2010-12-06 14:26:40
5220,1157,1191,MED,MED,2010-12-06 14:27:00
5220,1109,1193,NUR,NUR,2010-12-06 14:27:00
5240,1157,1191,MED,MED,2010-12-06 14:27:20
5240,1109,1193,NUR,NUR,2010-12-06 14:27:20
5260,1157,1191,MED,MED,2010-12-06 14:27:40
5260,1109,1193,NUR,NUR,2010-12-06 14:27:40
5280,1157,1191,MED,MED,2010-12-06 14:28:00
5280,1109,1193,NUR,NUR,2010-12-06 14:28:00
5300,1098,1114,ADM,NUR,2010-12-06 14:28:20
5300,1157,1191,MED,MED,2010-12-06 14:28:20
5300,1109,1193,NUR,NUR,2010-12-06 14:28:20
5320,1149,1232,NUR,ADM,2010-12-06 14:28:40
5320,1157,1191,MED,MED,2010-12-06 14:28:40
5340,1157,1191,MED,MED,2010-12-06 14:29:00
5360,1157,1191,MED,MED,2010-12-06 14:29:20
5380,1157,1191,MED,MED,2010-12-06 14:29:40
5380,1193,1295,NUR,NUR,2010-12-06 14:29:40
5400,1157,1191,MED,MED,2010-12-06 14:30:00
5400,1193,1295,NUR,NUR,2010-12-06 14:30:00
5420,1157,1191,MED,MED,2010-12-06 14:30:20
5440,1105,1114,NUR,NUR,2010-12-06 14:30:40
5440,1105,1193,NUR,NUR,2010-12-06 14:30:40
5440,1157,1191,MED,MED,2010-12-06 14:30:40
5440,1193,1295,NUR,NUR,2010-12-06 14:30:40
5460,1157,1191,MED,MED,2010-12-06 14:31:00
5460,1105,1295,NUR,NUR,2010-12-06 14:31:00
5460,1105,1116,NUR,NUR,2010-12-06 14:31:00
5460,1109,1295,NUR,NUR,2010-12-06 14:31:00
5460,1193,1295,NUR,NUR,2010-12-06 14:31:00
5480,1109,1142,NUR,NUR,2010-12-06 14:31:20
5480,1157,1191,MED,MED,2010-12-06 14:31:20
5480,1109,1295,NUR,NUR,2010-12-06 14:31:20
5480,1193,1295,NUR,NUR,2010-12-06 14:31:20
5500,1149,1232,NUR,ADM,2010-12-06 14:31:40
5500,1105,1193,NUR,NUR,2010-12-06 14:31:40
5500,1157,1191,MED,MED,2010-12-06 14:31:40
5520,1142,1295,NUR,NUR,2010-12-06 14:32:00
5520,1149,1232,NUR,ADM,2010-12-06 14:32:00
5520,1157,1191,MED,MED,2010-12-06 14:32:00
5520,1105,1295,NUR,NUR,2010-12-06 14:32:00
5540,1149,1232,NUR,ADM,2010-12-06 14:32:20
5540,1157,1191,MED,MED,2010-12-06 14:32:20
5560,1142,1295,NUR,NUR,2010-12-06 14:32:40
5560,1149,1232,NUR,ADM,2010-12-06 14:32:40
5560,1116,1142,NUR,NUR,2010-12-06 14:32:40
5560,1105,1142,NUR,NUR,2010-12-06 14:32:40
5560,1157,1191,MED,MED,2010-12-06 14:32:40
5580,1142,1295,NUR,NUR,2010-12-06 14:33:00
5580,1157,1191,MED,MED,2010-12-06 14:33:00
5580,1105,1295,NUR,NUR,2010-12-06 14:33:00
5600,1157,1191,MED,MED,2010-12-06 14:33:20
5600,1232,1295,ADM,NUR,2010-12-06 14:33:20
5600,1109,1164,NUR,NUR,2010-12-06 14:33:20
5600,1105,1116,NUR,NUR,2010-12-06 14:33:20
5620,1157,1191,MED,MED,2010-12-06 14:33:40
5640,1157,1191,MED,MED,2010-12-06 14:34:00
5640,1232,1295,ADM,NUR,2010-12-06 14:34:00
5640,1105,1164,NUR,NUR,2010-12-06 14:34:00
5640,1105,1116,NUR,NUR,2010-12-06 14:34:00
5660,1157,1191,MED,MED,2010-12-06 14:34:20
5660,1232,1295,ADM,NUR,2010-12-06 14:34:20
5660,1105,1295,NUR,NUR,2010-12-06 14:34:20
5680,1157,1191,MED,MED,2010-12-06 14:34:40
5680,1232,1295,ADM,NUR,2010-12-06 14:34:40
5700,1157,1191,MED,MED,2010-12-06 14:35:00
5720,1157,1191,MED,MED,2010-12-06 14:35:20
5740,1157,1191,MED,MED,2010-12-06 14:35:40
5760,1157,1191,MED,MED,2010-12-06 14:36:00
5780,1157,1191,MED,MED,2010-12-06 14:36:20
5800,1157,1191,MED,MED,2010-12-06 14:36:40
5820,1157,1191,MED,MED,2010-12-06 14:37:00
5840,1157,1191,MED,MED,2010-12-06 14:37:20
5860,1157,1191,MED,MED,2010-12-06 14:37:40
5880,1157,1191,MED,MED,2010-12-06 14:38:00
5900,1157,1191,MED,MED,2010-12-06 14:38:20
5920,1157,1191,MED,MED,2010-12-06 14:38:40
5940,1157,1191,MED,MED,2010-12-06 14:39:00
5960,1157,1191,MED,MED,2010-12-06 14:39:20
5980,1157,1191,MED,MED,2010-12-06 14:39:40
6000,1157,1191,MED,MED,2010-12-06 14:40:00
6020,1157,1191,MED,MED,2010-12-06 14:40:20
6040,1157,1191,MED,MED,2010-12-06 14:40:40
6060,1157,1191,MED,MED,2010-12-06 14:41:00
6080,1157,1191,MED,MED,2010-12-06 14:41:20
6100,1157,1191,MED,MED,2010-12-06 14:41:40
6120,1157,1191,MED,MED,2010-12-06 14:42:00
6140,1157,1191,MED,MED,2010-12-06 14:42:20
6160,1157,1191,MED,MED,2010-12-06 14:42:40
6180,1152,1168,MED,MED,2010-12-06 14:43:00
6180,1157,1191,MED,MED,2010-12-06 14:43:00
6200,1157,1191,MED,MED,2010-12-06 14:43:20
6220,1157,1191,MED,MED,2010-12-06 14:43:40
6240,1152,1193,MED,NUR,2010-12-06 14:44:00
6240,1157,1191,MED,MED,2010-12-06 14:44:00
6260,1157,1191,MED,MED,2010-12-06 14:44:20
6280,1157,1191,MED,MED,2010-12-06 14:44:40
6300,1152,1168,MED,MED,2010-12-06 14:45:00
6300,1157,1191,MED,MED,2010-12-06 14:45:00
6320,1098,1152,ADM,MED,2010-12-06 14:45:20
6320,1157,1191,MED,MED,2010-12-06 14:45:20
6340,1157,1191,MED,MED,2010-12-06 14:45:40
6360,1157,1191,MED,MED,2010-12-06 14:46:00
6380,1114,1144,NUR,MED,2010-12-06 14:46:20
6380,1157,1191,MED,MED,2010-12-06 14:46:20
6400,1157,1191,MED,MED,2010-12-06 14:46:40
6400,1142,1193,NUR,NUR,2010-12-06 14:46:40
6420,1114,1116,NUR,NUR,2010-12-06 14:47:00
6420,1157,1191,MED,MED,2010-12-06 14:47:00
6440,1157,1191,MED,MED,2010-12-06 14:47:20
6460,1157,1191,MED,MED,2010-12-06 14:47:40
6480,1157,1191,MED,MED,2010-12-06 14:48:00
6500,1157,1191,MED,MED,2010-12-06 14:48:20
6520,1157,1191,MED,MED,2010-12-06 14:48:40
6540,1114,1152,NUR,MED,2010-12-06 14:49:00
6540,1157,1191,MED,MED,2010-12-06 14:49:00
6560,1157,1191,MED,MED,2010-12-06 14:49:20
6580,1157,1191,MED,MED,2010-12-06 14:49:40
6600,1157,1191,MED,MED,2010-12-06 14:50:00
6620,1157,1191,MED,MED,2010-12-06 14:50:20
6640,1157,1191,MED,MED,2010-12-06 14:50:40
6660,1157,1191,MED,MED,2010-12-06 14:51:00
6680,1157,1191,MED,MED,2010-12-06 14:51:20
6700,1157,1191,MED,MED,2010-12-06 14:51:40
6720,1179,1196,ADM,NUR,2010-12-06 14:52:00
6720,1157,1191,MED,MED,2010-12-06 14:52:00
6740,1157,1191,MED,MED,2010-12-06 14:52:20
6760,1157,1191,MED,MED,2010-12-06 14:52:40
6780,1157,1191,MED,MED,2010-12-06 14:53:00
6800,1157,1191,MED,MED,2010-12-06 14:53:20
6820,1157,1191,MED,MED,2010-12-06 14:53:40
6840,1157,1191,MED,MED,2010-12-06 14:54:00
6860,1157,1191,MED,MED,2010-12-06 14:54:20
6880,1157,1191,MED,MED,2010-12-06 14:54:40
6900,1157,1191,MED,MED,2010-12-06 14:55:00
6920,1157,1191,MED,MED,2010-12-06 14:55:20
6940,1157,1191,MED,MED,2010-12-06 14:55:40
6960,1157,1191,MED,MED,2010-12-06 14:56:00
6980,1157,1191,MED,MED,2010-12-06 14:56:20
7000,1157,1191,MED,MED,2010-12-06 14:56:40
7020,1157,1191,MED,MED,2010-12-06 14:57:00
7040,1157,1191,MED,MED,2010-12-06 14:57:20
7060,1157,1191,MED,MED,2010-12-06 14:57:40
7080,1157,1191,MED,MED,2010-12-06 14:58:00
7100,1157,1191,MED,MED,2010-12-06 14:58:20
7120,1157,1191,MED,MED,2010-12-06 14:58:40
7140,1157,1191,MED,MED,2010-12-06 14:59:00
7160,1157,1191,MED,MED,2010-12-06 14:59:20
7180,1157,1191,MED,MED,2010-12-06 14:59:40
7200,1157,1191,MED,MED,2010-12-06 15:00:00
7220,1157,1191,MED,MED,2010-12-06 15:00:20
7240,1157,1191,MED,MED,2010-12-06 15:00:40
7260,1157,1191,MED,MED,2010-12-06 15:01:00
7280,1157,1191,MED,MED,2010-12-06 15:01:20
7300,1157,1191,MED,MED,2010-12-06 15:01:40
7320,1157,1191,MED,MED,2010-12-06 15:02:00
7340,1157,1191,MED,MED,2010-12-06 15:02:20
7420,1157,1191,MED,MED,2010-12-06 15:03:40
7440,1157,1191,MED,MED,2010-12-06 15:04:00
7460,1157,1191,MED,MED,2010-12-06 15:04:20
7480,1157,1191,MED,MED,2010-12-06 15:04:40
7500,1157,1191,MED,MED,2010-12-06 15:05:00
7520,1157,1191,MED,MED,2010-12-06 15:05:20
7540,1157,1191,MED,MED,2010-12-06 15:05:40
7560,1157,1191,MED,MED,2010-12-06 15:06:00
7580,1157,1191,MED,MED,2010-12-06 15:06:20
7600,1157,1191,MED,MED,2010-12-06 15:06:40
7620,1157,1191,MED,MED,2010-12-06 15:07:00
7640,1157,1191,MED,MED,2010-12-06 15:07:20
7660,1157,1191,MED,MED,2010-12-06 15:07:40
7680,1157,1191,MED,MED,2010-12-06 15:08:00
7700,1157,1191,MED,MED,2010-12-06 15:08:20
7720,1157,1191,MED,MED,2010-12-06 15:08:40
7740,1157,1191,MED,MED,2010-12-06 15:09:00
7760,1157,1191,MED,MED,2010-12-06 15:09:20
7780,1157,1191,MED,MED,2010-12-06 15:09:40
7800,1157,1191,MED,MED,2010-12-06 15:10:00
7820,1157,1191,MED,MED,2010-12-06 15:10:20
7840,1157,1191,MED,MED,2010-12-06 15:10:40
7860,1157,1191,MED,MED,2010-12-06 15:11:00
7880,1157,1191,MED,MED,2010-12-06 15:11:20
7900,1157,1191,MED,MED,2010-12-06 15:11:40
7920,1157,1191,MED,MED,2010-12-06 15:12:00
7940,1157,1191,MED,MED,2010-12-06 15:12:20
7960,1157,1191,MED,MED,2010-12-06 15:12:40
7980,1098,1191,ADM,MED,2010-12-06 15:13:00
8000,1098,1191,ADM,MED,2010-12-06 15:13:20
8000,1157,1191,MED,MED,2010-12-06 15:13:20
8000,1098,1157,ADM,MED,2010-12-06 15:13:20
8020,1114,1191,NUR,MED,2010-12-06 15:13:40
8040,1114,1191,NUR,MED,2010-12-06 15:14:00
8060,1114,1191,NUR,MED,2010-12-06 15:14:20
8060,1179,1191,ADM,MED,2010-12-06 15:14:20
8060,1157,1168,MED,MED,2010-12-06 15:14:20
8080,1098,1191,ADM,MED,2010-12-06 15:14:40
8080,1098,1196,ADM,NUR,2010-12-06 15:14:40
8080,1114,1191,NUR,MED,2010-12-06 15:14:40
8080,1157,1168,MED,MED,2010-12-06 15:14:40
8100,1152,1191,MED,MED,2010-12-06 15:15:00
8180,1157,1191,MED,MED,2010-12-06 15:16:20
8200,1152,1191,MED,MED,2010-12-06 15:16:40
8220,1157,1191,MED,MED,2010-12-06 15:17:00
8220,1152,1191,MED,MED,2010-12-06 15:17:00
8260,1157,1191,MED,MED,2010-12-06 15:17:40
8300,1152,1157,MED,MED,2010-12-06 15:18:20
8300,1157,1191,MED,MED,2010-12-06 15:18:20
8300,1152,1191,MED,MED,2010-12-06 15:18:20
8320,1114,1152,NUR,MED,2010-12-06 15:18:40
8460,1157,1191,MED,MED,2010-12-06 15:21:00
8480,1152,1157,MED,MED,2010-12-06 15:21:20
8480,1157,1191,MED,MED,2010-12-06 15:21:20
8500,1157,1191,MED,MED,2010-12-06 15:21:40
8520,1157,1191,MED,MED,2010-12-06 15:22:00
8560,1157,1191,MED,MED,2010-12-06 15:22:40
8560,1152,1191,MED,MED,2010-12-06 15:22:40
8760,1193,1196,NUR,NUR,2010-12-06 15:26:00
8880,1193,1196,NUR,NUR,2010-12-06 15:28:00
8900,1193,1196,NUR,NUR,2010-12-06 15:28:20
8920,1193,1196,NUR,NUR,2010-12-06 15:28:40
9060,1114,1179,NUR,ADM,2010-12-06 15:31:00
9080,1116,1179,NUR,ADM,2010-12-06 15:31:20
9080,1114,1179,NUR,ADM,2010-12-06 15:31:20
9100,1114,1179,NUR,ADM,2010-12-06 15:31:40
9140,1179,1365,ADM,PAT,2010-12-06 15:32:20
9200,1144,1157,MED,MED,2010-12-06 15:33:20
9200,1152,1157,MED,MED,2010-12-06 15:33:20
9200,1193,1196,NUR,NUR,2010-12-06 15:33:20
9220,1152,1191,MED,MED,2010-12-06 15:33:40
9240,1144,1191,MED,MED,2010-12-06 15:34:00
9240,1144,1157,MED,MED,2010-12-06 15:34:00
9240,1193,1196,NUR,NUR,2010-12-06 15:34:00
9240,1152,1191,MED,MED,2010-12-06 15:34:00
9260,1144,1191,MED,MED,2010-12-06 15:34:20
9260,1144,1157,MED,MED,2010-12-06 15:34:20
9260,1157,1191,MED,MED,2010-12-06 15:34:20
9260,1152,1191,MED,MED,2010-12-06 15:34:20
9280,1144,1157,MED,MED,2010-12-06 15:34:40
9280,1193,1196,NUR,NUR,2010-12-06 15:34:40
9280,1157,1191,MED,MED,2010-12-06 15:34:40
9280,1152,1191,MED,MED,2010-12-06 15:34:40
9300,1193,1365,NUR,PAT,2010-12-06 15:35:00
9300,1144,1157,MED,MED,2010-12-06 15:35:00
9300,1179,1320,ADM,PAT,2010-12-06 15:35:00
9300,1152,1191,MED,MED,2010-12-06 15:35:00
9320,1144,1157,MED,MED,2010-12-06 15:35:20
9320,1179,1365,ADM,PAT,2010-12-06 15:35:20
9340,1193,1365,NUR,PAT,2010-12-06 15:35:40
9340,1114,1116,NUR,NUR,2010-12-06 15:35:40
9340,1144,1157,MED,MED,2010-12-06 15:35:40
9340,1193,1196,NUR,NUR,2010-12-06 15:35:40
9360,1114,1191,NUR,MED,2010-12-06 15:36:00
9360,1179,1191,ADM,MED,2010-12-06 15:36:00
9380,1114,1191,NUR,MED,2010-12-06 15:36:20
9400,1114,1191,NUR,MED,2010-12-06 15:36:40
9420,1144,1157,MED,MED,2010-12-06 15:37:00
9420,1179,1193,ADM,NUR,2010-12-06 15:37:00
9440,1144,1157,MED,MED,2010-12-06 15:37:20
9460,1144,1157,MED,MED,2010-12-06 15:37:40
9460,1114,1191,NUR,MED,2010-12-06 15:37:40
9480,1193,1196,NUR,NUR,2010-12-06 15:38:00
9480,1179,1365,ADM,PAT,2010-12-06 15:38:00
9500,1144,1157,MED,MED,2010-12-06 15:38:20
9500,1193,1196,NUR,NUR,2010-12-06 15:38:20
9500,1179,1365,ADM,PAT,2010-12-06 15:38:20
9520,1144,1157,MED,MED,2010-12-06 15:38:40
9520,1179,1365,ADM,PAT,2010-12-06 15:38:40
9540,1179,1365,ADM,PAT,2010-12-06 15:39:00
9560,1179,1365,ADM,PAT,2010-12-06 15:39:20
9580,1144,1157,MED,MED,2010-12-06 15:39:40
9580,1179,1365,ADM,PAT,2010-12-06 15:39:40
9600,1179,1365,ADM,PAT,2010-12-06 15:40:00
9620,1144,1157,MED,MED,2010-12-06 15:40:20
9620,1152,1157,MED,MED,2010-12-06 15:40:20
9620,1179,1365,ADM,PAT,2010-12-06 15:40:20
9640,1144,1157,MED,MED,2010-12-06 15:40:40
9640,1152,1157,MED,MED,2010-12-06 15:40:40
9640,1179,1365,ADM,PAT,2010-12-06 15:40:40
9660,1179,1365,ADM,PAT,2010-12-06 15:41:00
9680,1179,1365,ADM,PAT,2010-12-06 15:41:20
9700,1179,1365,ADM,PAT,2010-12-06 15:41:40
9720,1179,1365,ADM,PAT,2010-12-06 15:42:00
9740,1144,1157,MED,MED,2010-12-06 15:42:20
9740,1193,1196,NUR,NUR,2010-12-06 15:42:20
9740,1152,1191,MED,MED,2010-12-06 15:42:20
9740,1179,1365,ADM,PAT,2010-12-06 15:42:20
9760,1144,1157,MED,MED,2010-12-06 15:42:40
9760,1193,1196,NUR,NUR,2010-12-06 15:42:40
9760,1152,1191,MED,MED,2010-12-06 15:42:40
